,FU_ESRD,FU_ESRD,Death_or_HD,Death_or_HD
,mean,count,mean,count
risk_group,,,,
Low,8.425842241450777,193,0.09844559585492228,193
Medium,8.006075120725388,193,0.13471502590673576,193
High,6.77057825492228,193,0.29533678756476683,193
